id,month,year,totalSales,totalCosts,totalExpenses,profit
1,5,2018,27801.0,14995.0,8943.93,3862.07
2,6,2018,30662.0,16049.31,19938.98,-5326.29
3,7,2018,32833.0,17115.72,11050.83,4666.45
4,8,2018,39818.0,21605.96,12767.14,5444.9
5,9,2018,54541.0,29201.25,17440.0,7899.75
6,10,2018,65589.0,34688.58,17615.95,13284.47
7,11,2018,71156.0,36978.32,23041.73,11135.95
8,12,2018,66817.0,34682.55,27635.89,4498.56
9,1,2019,31843.0,18154.28,12568.58,1120.14
10,2,2019,32041.0,16566.64,8471.19,7003.17
11,3,2019,45375.0,23865.15,13476.58,8033.27
12,4,2019,27326.0,13378.4,8862.47,5085.13
13,5,2019,46552.0,24532.72,13013.08,9006.2
14,6,2019,56854.0,31975.85,16185.64,8692.51
15,7,2019,70961.0,42302.79,20750.24,7907.97
16,8,2019,35339.0,17921.29,12428.73,4988.98
17,9,2019,37423.0,18883.27,10422.48,8117.25
18,10,2019,55601.0,28427.2,15629.97,11543.83
19,11,2019,64309.0,35682.36,19869.64,8757.0
20,12,2019,75088.0,38332.12,34926.52,1829.36
21,1,2020,27195.0,14131.25,8121.26,4942.49
22,2,2020,23623.0,12248.88,5948.96,5425.16
23,3,2020,38877.0,20983.87,11996.23,5896.9
24,4,2020,42884.0,20513.51,14450.69,7919.8
25,5,2020,40605.0,21128.58,15458.94,4017.48
26,6,2020,40630.0,19627.4,20534.19,468.41
27,7,2020,46229.0,24198.97,15675.45,6354.58
28,8,2020,21183.0,10140.62,7774.75,3267.63
29,9,2020,45222.0,22430.22,12082.8,10708.98
30,10,2020,43097.0,20175.23,14118.19,8803.58
31,11,2020,45821.0,21203.6,15224.49,9392.91
32,12,2020,80028.0,42515.65,42665.98,-5153.63
33,1,2021,27343.0,14515.84,7268.01,5559.15
34,2,2021,23523.0,12178.22,7091.12,4253.66
35,3,2021,46356.0,25404.92,14013.84,6937.24
36,4,2021,52252.0,26252.49,18077.3,7922.21
37,5,2021,24188.0,11261.5,7673.36,5253.14
38,6,2021,48308.0,24891.25,14806.43,8610.32
39,7,2021,41209.0,20179.35,13421.72,7607.93
40,8,2021,39262.0,20870.26,14659.86,3731.88
41,9,2021,70330.0,36324.33,22028.1,11977.57
42,10,2021,53288.0,25184.29,14676.47,13427.24
43,11,2021,94106.0,47683.67,38762.02,7660.31
44,12,2021,82416.0,41939.87,30473.21,10002.92
45,1,2022,50171.0,25209.2,25626.76,-664.96
46,2,2022,23080.0,11720.05,6962.74,4397.21
47,3,2022,43757.0,23012.31,12850.34,7894.35
48,4,2022,42896.0,22099.57,12207.39,8589.04
49,5,2022,36823.0,19287.38,10054.93,7480.69
50,6,2022,33140.0,16681.32,9446.82,7011.86
51,7,2022,36783.0,18692.29,13638.08,4452.63
52,8,2022,86807.0,48719.24,31386.13,6701.63
53,9,2022,53570.0,28461.67,14465.75,10642.58
54,10,2022,49477.0,25358.36,16940.96,7177.68
55,11,2022,51249.0,23587.08,17071.34,10590.58
56,12,2022,96243.0,48283.55,45235.71,2723.74
57,1,2023,27920.0,13440.89,7959.1,6520.01
58,2,2023,35509.0,19102.28,9839.91,6566.81
59,3,2023,46185.0,24923.76,13957.11,7304.13
60,4,2023,70454.0,36016.29,25731.33,8706.38
61,5,2023,57990.0,28842.45,21402.81,7744.74
62,6,2023,34183.0,16401.26,12007.98,5773.76
63,7,2023,49981.0,24100.88,18334.89,7545.23
64,8,2023,40426.0,19233.51,21598.99,-406.5
65,9,2023,67905.0,34843.39,28180.44,4881.17
66,10,2023,69315.0,32183.11,19643.57,17488.32
67,11,2023,84789.0,41119.25,35371.68,8298.07
68,12,2023,131303.0,69423.28,66681.6,-4801.88
69,1,2024,35001.0,17093.56,8983.86,8923.58
70,2,2024,37800.0,19017.08,23657.46,-4874.54
71,3,2024,51187.0,25044.59,17329.94,8812.47
72,4,2024,50362.0,24209.96,15200.7,10951.34
73,5,2024,39896.0,19895.67,13329.82,6670.51
74,6,2024,34477.0,16656.47,11786.8,6033.73
75,7,2024,61882.0,30834.04,25487.99,5559.97
76,8,2024,43850.0,20123.84,17447.89,6278.27
77,9,2024,43484.0,19827.59,13060.63,10595.78
78,10,2024,111297.0,60965.2,38178.93,12152.87
79,11,2024,61770.0,28715.4,21895.24,11159.36
80,12,2024,134827.0,64770.41,56262.21,13794.38
81,1,2025,51274.0,27833.23,14310.27,9130.5
82,2,2025,31298.0,16517.08,10594.03,4186.89
83,3,2025,72804.0,39570.19,22584.55,10649.26
84,4,2025,82788.0,44364.76,29882.07,8541.17
85,5,2025,77709.0,42145.41,24941.27,10622.32
86,6,2025,64103.0,30355.44,19426.95,14320.61
87,7,2025,58266.0,28106.42,23723.36,6436.22
88,8,2025,55201.0,28708.19,19614.27,6878.54
89,9,2025,78398.0,38139.33,34529.49,5729.18
90,10,2025,105010.0,55590.14,40615.01,8804.85
91,11,2025,83561.0,38933.12,38266.91,6360.97
92,12,2025,123541.0,62551.77,51893.58,9095.65
93,1,2026,40949.0,19844.95,12148.8,8955.25
94,2,2026,32977.0,15847.17,9465.34,7664.49
95,3,2026,70434.0,35936.13,22573.94,11923.93
96,4,2026,63273.0,30382.78,25176.07,7714.15
97,5,2026,2273.0,1080.0,867.95,325.05
