id,customerId,productId,transactionDate,quantity,totalAmount
1,84,28,2018-05-06,1,45.0
2,84,12,2018-05-06,1,65.0
3,26,13,2018-05-06,1,50.0
4,92,1,2018-05-06,1,1200.0
5,13,15,2018-05-06,1,180.0
6,47,9,2018-05-06,1,180.0
7,51,19,2018-05-06,1,20.0
8,62,9,2018-05-07,2,360.0
9,35,30,2018-05-07,1,50.0
10,61,27,2018-05-07,1,40.0
11,1,9,2018-05-08,1,180.0
12,15,21,2018-05-09,1,15.0
13,66,25,2018-05-09,1,30.0
14,49,19,2018-05-09,2,40.0
15,16,3,2018-05-09,1,55.0
16,93,23,2018-05-09,1,15.0
17,86,4,2018-05-09,3,360.0
18,26,20,2018-05-09,2,50.0
19,56,27,2018-05-09,2,80.0
20,33,29,2018-05-10,3,114.0
21,76,3,2018-05-10,1,55.0
22,30,11,2018-05-10,1,800.0
23,55,6,2018-05-10,1,80.0
24,6,28,2018-05-10,6,270.0
25,26,21,2018-05-11,1,15.0
26,45,30,2018-05-11,1,50.0
27,48,23,2018-05-11,4,60.0
28,53,27,2018-05-12,2,80.0
29,23,23,2018-05-13,1,15.0
30,37,28,2018-05-13,2,90.0
31,40,3,2018-05-13,1,55.0
32,87,6,2018-05-13,11,880.0
33,54,24,2018-05-13,1,35.0
34,52,13,2018-05-14,2,100.0
35,98,7,2018-05-14,5,1500.0
36,80,15,2018-05-15,1,180.0
37,75,14,2018-05-15,1,70.0
38,6,25,2018-05-15,2,60.0
39,48,21,2018-05-15,1,15.0
40,17,9,2018-05-15,2,360.0
41,81,1,2018-05-15,4,4800.0
42,52,4,2018-05-15,1,120.0
43,9,27,2018-05-15,1,40.0
44,95,10,2018-05-16,1,220.0
45,35,9,2018-05-16,4,720.0
46,20,20,2018-05-16,3,75.0
47,43,1,2018-05-16,2,2400.0
48,65,20,2018-05-16,5,125.0
49,71,20,2018-05-17,2,50.0
50,13,27,2018-05-17,1,40.0
51,46,4,2018-05-17,2,240.0
52,39,28,2018-05-17,2,90.0
53,19,3,2018-05-18,3,165.0
54,100,21,2018-05-19,1,15.0
55,70,2,2018-05-19,1,35.0
56,84,27,2018-05-19,3,120.0
57,32,21,2018-05-20,3,45.0
58,22,2,2018-05-20,1,35.0
59,99,6,2018-05-21,2,160.0
60,1,13,2018-05-21,1,50.0
61,28,6,2018-05-22,1,80.0
62,79,30,2018-05-22,1,50.0
63,25,15,2018-05-22,1,180.0
64,87,12,2018-05-23,1,65.0
65,58,16,2018-05-23,2,240.0
66,18,29,2018-05-23,1,38.0
67,1,5,2018-05-24,1,350.0
68,69,14,2018-05-25,1,70.0
69,50,21,2018-05-25,1,15.0
70,29,24,2018-05-25,2,70.0
71,38,9,2018-05-25,5,900.0
72,22,13,2018-05-25,1,50.0
73,97,26,2018-05-25,5,175.0
74,31,19,2018-05-25,21,420.0
75,13,23,2018-05-26,1,15.0
76,63,21,2018-05-26,3,45.0
77,30,9,2018-05-26,1,180.0
78,26,29,2018-05-26,2,76.0
79,25,17,2018-05-26,12,480.0
80,74,18,2018-05-27,1,50.0
81,95,25,2018-05-28,2,60.0
82,76,19,2018-05-29,15,300.0
83,19,15,2018-05-29,2,360.0
84,61,16,2018-05-29,1,120.0
85,37,1,2018-05-29,2,2400.0
